Datetime,Scramble,TotalTime,PlanMistake,MemoMistake,DoMistake,PlanTime,MemoTime,MemoRecallTime,DoTime,MemoEndTime,EdgesLetters,CornersLetters,Comment
2025-08-07 20:04:11.182449,F L2 U2 F2 D2 B L2 B' R2 F' D2 U2 L R D L' F D' F' D' F2,715.153,1,1,0,204.092,89.245,230.307,191.509,,SL QT VX JF UC RK,OL FH KC BJ,
2025-08-07 20:17:58.773114,U B' R U2 R2 D' B2 L2 U' L2 R2 U F2 D2 R' F D2 B L2 R' B',684.542,0,1,0,172.198,164.459,169.902,177.983,,EF JA XU NG VI SH O,VD BJ LH P,
2025-08-07 22:00:25.928351,L U R L' F' R' U2 L F L F2 D2 B2 U2 D2 R F2 L2 D2 R' B2,567.09,1,0,0,255.217,65.37,90.848,155.655,78.006,XD LT KS JC OR DA Q,UC QV IT P,
2025-08-08 10:23:27.040881,L2 F' D2 R' L' U' B' F2 U2 R L U2 D2 L D2 B2 R' F2 D2 U B',808.354,1,1,0,287.286,121.353,174.746,224.969,48.368,EC NL RS PO XK XA Q,JQ IS OG V,
2025-08-08 10:49:20.672894,B' D2 L F2 B R' D' B' U B2 L2 U F2 R2 U L2 F2 U F2 D',748.764,1,1,0,175.355,184.53,229.611,159.268,84.496,KX CO WD HL JF NA N,IU HM VQ KW O,
2025-08-11 10:24:26,F U2 L2 U2 R2 B R2 B2 R2 F' D2 B2 D' F2 R B F U L2 D L2,325.617,0,0,1,115.899,21.386,69.069,119.263,57.475,OU PD WT GI FA D,WC FB SL V,
2025-08-11 10:32:56,U' F2 R2 D R' D2 R' L2 F' U2 F D2 B2 L2 F' D2 B' L2 F L',340.182,0,0,1,97.122,10.365,65.796,166.899,98.095,TI WP DL VD XK GR AH,BL HW IO,
2025-08-11 10:41:03,B D B2 D R2 D2 L2 U' B2 U' L2 U' R2 B D L2 B R' B D' B2,141.334,,,0,0,0,0,141.334,,OQ IE SU LG RJ NX,LH IO KS BQ CJ,
2025-08-11 10:44:17,U L R2 U2 L2 D' L2 B2 D L2 F2 B R' U F2 L2 D' L2 R2,108.928,,,0,0,0,0,108.928,,IE WL RO XU JA,BH FC PU OH,
2025-08-11 10:46:50,R2 B' L2 U2 F R2 B' L2 F U2 F2 L U2 R F' U2 R' D' R' B2 R2,126.953,,,0,0,0,0,126.953,,DT KF PO CA SX HR,PI SQ OG CG,
2025-08-11 10:50:06,U2 L2 B' F2 D' L2 D R2 B2 L2 F2 D R' B' D R2 B' U2 R,401.395,0,1,0,133.01,12.64,120.257,135.488,83.996,TD AX KL IE HR VS V,CP UI SO UB Q,
2025-08-11 11:15:58,L2 R2 B U2 L2 F' L2 R2 D2 B2 R2 F' U F2 R' B D' F D' F' R',258.718,0,0,0,115.475,9.578,41.592,92.073,70.331,IR OU TX QD PW D,IQ VU JS W,
2025-08-11 11:29:22,R D' R2 B' R D' L F D2 F R2 B' L2 F U2 L2 U2 B2 U' L,374.814,0,0,1,120.232,10.451,87.136,156.995,164.237,PQ XK WN CO DR LE,PU GJ CD WB SI,
2025-08-11 11:39:51,B2 R' D2 L' B2 R' D2 B2 L R2 D' U R' U' R2 U' F D2 U2,368.209,1,0,1,123.975,26.622,57.983,159.629,85.546,RD CV WK PX TA FD,NX CV KD OF,
2025-08-11 11:48:39,F' L' F2 D R B D' B' D2 L' U2 F2 U2 B2 R' B2 L' F,202.63,,,1,0,0,0,202.63,,IS NO DP FA VK XR K,NC UK OI T,
2025-08-11 11:52:26,F' D2 F2 R' B2 U2 L2 B2 R' B2 F' U R' B2 L2 D' U' F,139.342,,,0,0,0,0,139.342,,KW EQ HF JN CG X,PH NW CF HG U,
2025-08-11 11:55:11,B2 L' B2 R F2 L2 R' D2 B2 D2 B2 R2 U' L' D F' R2 U' B' L' R2,118.223,,,0,0,0,0,118.223,,UF IH GS OD NP AS,UN HC FV WS,
2025-08-11 11:58:54,D' F U L' B2 U2 R2 L D L2 U B2 U L2 D' R2 D L2 D L2 R',298.927,0,0,0,115.247,8.131,73.357,102.192,106.995,FC DO QG SJ DN KN,GI TV CS BV,
